sample_number,season,site,treatment,rep,horizon,depth,sample_type,core_loss,sample_dim,notes,forest_floor,fiber,color,pH,bd,texture,LOI
150,2020,C5A,C5,6,min,,BD core,,,,,,,,0.79,,
151,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,
156,,,,,,, ,,,,,,,,,,
157,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,
163,,C5B,C5,1,O,0-5,BD,,,03/23/2021: mostly needles. some aggregated soil in lower part.,,,,,0.08,,
164,,C5B,C5,2,O,0-5,BD,,,"03/23/2021: mostly needles, some microagg, enriched mineral soil",,,,,0.07,,
165,,C5B,C5,3,O,0-4,BD,,,"03/23/2021: mostly needles, some microaggregates, enriched mineral soil.",,,,,0.05,,
166,,C5B,C5,4,O,0-5,BD,,,"03/23/2021: muck on bottom, mostly needles, organic-enriched silt?",,,,,0.12,,
167,,C5B,C5,5,O,0-3.5,BD,,,"03/23/2021: mostly needle, sandy microagg, FG",,,,,0.06,,
168,,C5B,C5,6,O,0-3,BD,,,"03/23/2021: mostly needle, microagg, FG, porcini fungal smell",,,,,0.08,,
169,,C5B,C5,1,,,BD core,,,,,,,,0.91,,
170,,C5B,C5,2,,,BD core,,,,,,,,0.86,,
171,,C5B,C5,3,,,BD core,,,,,,,,0.61,,
172,,C5B,C5,4,,,BD core,,,,,,,,0.63,,
173,,C5B,C5,5,,,BD core,,,,,,,,0.63,,
174,,C5B,C5,6,,,BD core,,,,,,,,0.75,,
175,,C5B,C5,1,O,,TCO,,,,,,,,,,
176,,C5B,C5,2,O,,TCO,,,,,,,,,,
177,,C5B,C5,3,O,,TCO,,,,,,,,,,
178,,C5B,C5,4,O,,TCO,,,,,,,,,,
179,,C5B,C5,5,O,,TCO,,,,,,,,,,
180,,C5B,C5,6,O,,TCO,,,,,,,,,,
181,,D2A,D2,1,O,,BD,,,,,,,,0.95,,
182,,D2A,D2,2,O,,BD,,,,,,,,1.06,,
183,,D2A,D2,3,O,0-5.5,BD,,15x15x5.5,,,,,,0.86,,
184,,D2A,D2,4,O,0-6,BD,,15x15x6,"""needs thin"". update thickness once finished removing mineral material.",,,,,0.81,,
185,,D2A,D2,5,O,0-,BD,,15x15x,needs mineral removed,,,,,1.08,,
,,D2A,D2,6,O,0-,BD,,15x15x,needs mineral removed,,,,,0.99,,
,,D2A,D2,1,,,BD core,,,,,,,,,,
,,D2A,D2,2,,,BD core,,,,,,,,,,3.18
,,D2A,D2,3,,,BD core,,,,,,,,,,
,,D2A,D2,4,,,BD core,,,,,,,,,,
,,D2A,D2,5,,,BD core,,,,,,,,,,1.95
,,D2A,D2,6,,,BD core,,,,,,,,,,5.26
,,D2A,D2,1,O,0-7/8,TCO,,15x15x7/8,,,,,,,,
,,D2A,D2,2,O,0-7,TCO,,15x15x7,,,,,,,,
,,D2A,D2,3,O,0-9,TCO,,15x15x9,,,,,,,,
,,D2A,D2,4,O,0-,TCO,,15x15x,,,,,,,,
,,D2A,D2,5,O,,TCO,,15x15x,,,,,,,,
,,D2A,D2,6,O,,TCO,,15x15x,,,,,,,,
,,D2B,D2,1,O,0-6,BD,,15x15x6,,,,,,0.25,,
,,D2B,D2,2,O,,BD,,,,,,,,0.28,,
,,D2B,D2,3,O,0-6,BD,,15x15x6,,,,,,0.21,,
,,D2B,D2,4,O,0-5,BD,,15x15x5,,,,,,0.21,,
,,D2B,D2,5,O,0-5.5,BD,,15x15x5.5,,,,,,0.23,,
,,D2B,D2,6,O,0-6,BD,,15x15x6,,,,,,0.23,,
,,D2B,D2,1,,,BD core,,,,,,,,1.29,,
,,D2B,D2,2,,,BD core,,,,,,,,1.22,,
,,D2B,D2,3,,,BD core,,,,,,,,1.05,,
,,D2B,D2,4,,,BD core,,,,,,,,0.68,,
,,D2B,D2,5,,,BD core,,,,,,,,1.2,,
,,D2B,D2,6,,,BD core,,,,,,,,1.19,,
,,D2B,D2,1,,0-8.5,TCO,,14x14x8.5,,,,,,,,
,,D2B,D2,2,,0-8,TCO,,15x15x8,,,,,,,,
,,D2B,D2,3,,0-8,TCO,,15x15x8,,,,,,,,
,,D2B,D2,4,,0-7.5,TCO,,14x15x7.5,,,,,,,,
,,D2B,D2,5,,0-,TCO,,,,,,,,,,
,,D2B,D2,6,,,TCO,,,,,,,,,,
,,D5A,D5,1,,0,BD core,,,,,,,,0.57,,
,,D5A,D5,2,,0,BD core,,,,,,,,0.72,,
,,D5A,D5,3,,0,BD core,,,,,,,,0.79,,
,,D5A,D5,4,,0,BD core,,,,,,,,0.7,,
,,D5A,D5,5,,0,BD core,,,,,,,,0.85,,
,,D5A,D5,6,,0,BD core,,,,,,,,0.84,,
,,D5B,D5,1,A,0,BD core,,,,,,,,0.52,,
,,D5B,D5,2,A,0,BD core,,,,,,,,0.45,,
,,D5B,D5,3,A,0,BD core,,,,,,,,0.71,,
,,D5B,D5,4,A,0,BD core,,,,,,,,0.87,,
,,D5B,D5,5,A,0,BD core,,,,,,,,NA,,
,,D5B,D5,6,A,0,BD core,,,,,,,,0.73,,
,,D5B,D5,7,A,0,BD core,,,,,,,,0.6,,
